,Nom_Resto,Type_Cuisine,Type_Repas,Arrondissement
1073,Le Coin,"Déjeuner, Dîner, Ouvert tard, Boissons","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table",75008
1074,Maceo,"Choix végétaliens, Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard, Boissons",75001
1075,Au 35,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75006
1076,L'Auberge Aveyronnaise,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75012
1077,Au Coin des Gourmets,"Asiatique, Vietnamienne, cambodgienne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75001
1078,Happy Nouilles,"Chinoise, Asiatique, Soupes","Végétariens bienvenus, Choix végétaliens",75003
1079,Visconti,Végétariens bienvenus,"Déjeuner, Dîner",75008
1080,Les Rillettes,"Dîner, Déjeuner, Ouvert tard","Réservations, Places assises, Sert de l'alcool, Service de table",75009
1081,Cristal Room Baccarat,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75116
1082,La Recoleta,"Steakhouse, Latino, Argentine","Déjeuner, Dîner",75017
1083,L'Ourcine,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75013
1084,Le Suffren,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard",75015
1085,LYNA Ristorante,"Italienne, Romana, Latium, Sicilienne, Italie du Nord, Italie du Centre, Italie du Sud","Végétariens bienvenus, Choix végétaliens",75017
1086,Ma Salle a Manger,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75001
1087,La Boussole,"Française, Européenne, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75006
1088,Signature by Pierre Sang,"Française, Coréenne","Déjeuner, Dîner",75011
1089,Bacco,Végétariens bienvenus,"Déjeuner, Dîner",75015
1090,Caffe Vito,"Française, Italienne","Végétariens bienvenus, Choix végétaliens",75004
1091,Fujiyaki japonais,"Japonaise, Asiatique",Végétariens bienvenus,75011
1092,Aux Ducs de Bourgogne,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Brunch",75007
1093,Le Cosi,"Française, Méditerranéenne, Européenne","Déjeuner, Dîner, Ouvert tard",75005
1094,L'Ardoise 86,"Française, Bar, Européenne",Végétariens bienvenus,75004
1095,Le Petit Cadet,"Française, Bar, Européenne",Végétariens bienvenus,75009
1096,Bodega 64,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard, Boissons",75004
1097,Le Bistrot De l'Enfance,"Française, Européenne, Saine, Fruits de mer & Poisson, Moderne","Déjeuner, Dîner, Ouvert tard, Boissons",75006
1098,T'Cup,Végétariens bienvenus,"Petit déjeuner, Déjeuner, Dîner, Brunch, Boissons",75003
1099,Chez Nous,"Ouvert tard, Boissons","Places assises, Sert de l'alcool, Service de table",75006
1100,Le Seraphin,Française,Végétariens bienvenus,75006
1101,Le Petit Cler,"Végétariens bienvenus, Plats sans gluten","Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard",75007
1102,Calice Alto,"Italienne, Européenne, Napolitaine, Campanie, Pizza, Pouilles, Italie du Sud","Déjeuner, Dîner, Boissons",75009
1103,Marrow,Végétariens bienvenus,Dîner,75010
1104,Chez Papa Bastille,"Française, Européenne",Végétariens bienvenus,75012
1105,L'Ogre,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table",75016
1106,Le French Burger,"Américaine, Restauration rapide","Déjeuner, Dîner",75018
1107,Bistrot Marloe Paris,"Française, Européenne",Végétariens bienvenus,75008
1108,Mom,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Brunch, Ouvert tard",75017
1109,Bistrot Beyrouth,Libanaise,"Végétariens bienvenus, Choix végétaliens",03
1110,Salsamenteria di Parma,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",75009
1111,La Divina Commedia,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75006
1112,Chez Tof,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75002
1113,Loulou Restaurant,"Française, Café, Diner, Australienne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75005
1114,La Bastide d'Opio,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75006
1115,Seulement Sea,"Française, Fruits de mer & Poisson, Méditerranéenne, Européenne","Déjeuner, Dîner, Boissons",75006
1116,Les Bombistrot,"Déjeuner, Dîner, Ouvert tard","Réservations, Terrasse, Places assises, Sert de l'alcool, Bar complet, Wi-Fi gratuit, Service de table",75012
1117,La Maison Bleue,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75010
1118,Le Vieux Belleville,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table, Chèques-cadeaux disponibles",75020
1119,L'As du Fallafel,"Restauration rapide, Méditerranéenne, Moyen-Orient, Israélienne","Végétariens bienvenus, Choix végétaliens, Casher",75004
1120,Les Galandines,Végétariens bienvenus,"Petit déjeuner, Déjeuner, Dîner, Brunch",57
1121,Chez Minnà,"Française, Méditerranéenne",Végétariens bienvenus,75010
1122,Kitchen,"Américaine, Internationale, Saine, Cuisine de rue (street food)","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",74
1123,Bistrot Mee,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75001
1124,Ober Mamma,"Italienne, Pizza, Méditerranéenne, Européenne, Napolitaine, Campanie, Romana, Latium, Italie du Centre, Italie du Sud","Végétariens bienvenus, Choix végétaliens",07
1125,La Crêperie Bretonne,Végétariens bienvenus,"Déjeuner, Dîner, Boissons, Ouvert tard",56
1126,Le Petit Italien,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75003
1127,Le Petit Pergolèse,"Déjeuner, Dîner, Ouvert tard","Réservations, Salle privée, Places assises, Service de voiturier, Accès personnes handicapées, Sert de l'alcool, Wi-Fi gratuit, Accepte les cartes bancaires, Service de table",75116
1128,Les Cartes Postales,"Déjeuner, Dîner","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75001
1129,Felix,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",79
1130,Happa Tei,Végétariens bienvenus,"Déjeuner, Dîner",75002
1131,La Vigne Saint Laurent,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Service de table",75010
1132,Les Artistes,"Brasserie gastronomique, Bar, Européenne","Végétariens bienvenus, Choix végétaliens",75014
1133,Les Crocs,"Italienne, Pizza, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",75012
1134,Plein Ouest,"Française, Fruits de mer & Poisson, Européenne","Déjeuner, Dîner, Boissons",75009
1135,Le Moulin de la galette,Française,Végétariens bienvenus,75018
1136,Ozio,"Italienne, Pizza","Végétariens bienvenus, Choix végétaliens",75116
1137,Via Mela,Végétariens bienvenus,"Déjeuner, Dîner",75009
1138,La Luna,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75008
1139,Le Restaurant ERH,"Européenne, Française","Déjeuner, Dîner",75002
1140,La Maison du Dim Sum,"Déjeuner, Dîner, Ouvert tard","Plats à emporter, Réservations, Buffet, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75005
1141,Esens'All,"Française, Européenne, Fusion","Dîner, Ouvert tard",75017
1142,le Diamant de Paris,"Méditerranéenne, Française, Européenne",Végétariens bienvenus,59
1143,La Cuisine - Le Royal Monceau,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75008
1144,le Richer,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75009
1145,"Le Lobby Restaurant, The Peninsula Paris","Française, Européenne, Internationale","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75116
1146,L'Ardoise,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75001
1147,brEAThe,"Française, Américaine, Asiatique, Thaï, Européenne",Choix végétaliens,75009
1148,Guillaume Grasso la Vera pizza napoletana,Végétariens bienvenus,"Déjeuner, Dîner",75015
1149,Champa Lao,"Asiatique, Thaï","Végétariens bienvenus, Choix végétaliens",75015
1150,Legrand Filles et Fils,"Déjeuner, Boissons","Réservations, Terrasse, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75002
1151,La Poutinerie,"Canadienne, Cuisine de rue (street food)","Déjeuner, Dîner, Boissons",75010
1152,Villa Punjab Gastronomie Indienne,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75017
1153,Schwartz's,"Végétariens bienvenus, Casher","Déjeuner, Dîner, Brunch, Ouvert tard",75016
1154,Au Moulin a Vent Chez Henri,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75005
1155,A Noste,"Française, Européenne, Espagnole",Végétariens bienvenus,75002
1156,L'Envers du Décor,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard, Boissons",70
1157,Numero 41,Végétariens bienvenus,"Déjeuner, Dîner, Brunch",75016
1158,BOULETTES Chef comptoir,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",79
1159,L'Orange Verte,Végétariens bienvenus,"Déjeuner, Dîner",75010
1160,Etsi,"Méditerranéenne, Grecque","Végétariens bienvenus, Choix végétaliens",75018
1161,Le Petit Vendome,"Française, Européenne","Déjeuner, Dîner, Boissons",75002
1162,Les Foodies,"Italienne, Française, Fusion, Moderne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75004
1163,La Ravigote,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75011
1164,Gabia,"Française, Européenne","Déjeuner, Dîner",77
1165,Le Petit Sommelier,"Française, Européenne, Bar à vins","Déjeuner, Dîner, Ouvert tard, Boissons",75014
1166,TournBride,"Fujian, Française",Végétariens bienvenus,04
1167,Page 35,"Française, Européenne, Brasserie gastronomique",Végétariens bienvenus,75003
1168,Les Pinces,"Déjeuner, Dîner, Ouvert tard","Service de livraison, Plats à emporter, Réservations, Places assises, Sert de l'alcool, Bières & Vins, American Express acceptée, Mastercard acceptée, Visa acceptée, Wi-Fi gratuit, Discover acceptée, Accepte les cartes bancaires, Service de table",75004
1169,La Rotonde,Végétariens bienvenus,"Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard",05
1170,Le Dan Bau,"Végétariens bienvenus, Choix végétaliens","Dîner, Boissons",75018
1171,La Fabbrica,"Italienne, Méditerranéenne, Européenne",Végétariens bienvenus,75017
1172,l'Escient,"Française, Européenne, Moderne","Déjeuner, Dîner",75017
1173,Au Bascou,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75003
1174,L' Echappée,Végétariens bienvenus,"Déjeuner, Dîner",75020
1175,Zincou Vins & Tapas,"Française, Européenne, Saine, Bar à vins","Déjeuner, Dîner, Boissons",50
1176,Le Perroquet Vert,"Déjeuner, Dîner, Ouvert tard","Places assises, Réservations, Accès personnes handicapées, Service de table",75018
1177,Les Pipos,"Française, Européenne, Bar à vins",Végétariens bienvenus,75005
1178,Chez Pradel Bastille,Française,"Déjeuner, Dîner",75011
1179,L'inconnu,"Déjeuner, Dîner","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75007
1180,Restaurant Belle Maison,"Fruits de mer & Poisson, Européenne, Française","Déjeuner, Dîner",75009
1181,Le Grenier de Notre Dame,"Française, Européenne, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75005
1182,Le Cotte Rôti,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75012
1183,Ida,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75015
1184,La Porteña,Végétariens bienvenus,"Déjeuner, Dîner",75018
1185,Abyssinia,"Africaine, Éthiopienne",Végétariens bienvenus,75020
1186,Brasserie du Louvre - Bocuse,Française,Végétariens bienvenus,75001
1187,Le Bosquet,"Française, Européenne",Végétariens bienvenus,75007
1188,Matsuyama,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Boissons, Ouvert tard",55
1189,Le Poincaré,Végétariens bienvenus,"Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard, Boissons",75116
1190,Capucine Café La Brasserie,"Française, Européenne, Brasserie gastronomique",Végétariens bienvenus,75002
1191,Chez Janou,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75003
1192,La Table Des Anges,"Française, Européenne, Brasserie gastronomique",Végétariens bienvenus,75009
1193,Chez Leveque,"Déjeuner, Dîner","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Terrasse, Service de table",75005
1194,Dosanko,Végétariens bienvenus,"Déjeuner, Dîner",75002
1195,Privé de Dessert,"Française, Européenne",Végétariens bienvenus,75009
1196,Entre les Vignes,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75012
1197,Le Valois,"Française, Bar, Européenne, Pub","Végétariens bienvenus, Choix végétaliens",75008
1198,Schwartz's Deli,"Française, Diner",Végétariens bienvenus,75017
1199,58 Tour Eiffel,"Française, Européenne, Moderne",Végétariens bienvenus,75007
1200,BEM - le Bistrot d’Eleonore et Maxence,Végétariens bienvenus,"Déjeuner, Dîner, Brunch, Ouvert tard, Boissons",75007
1201,Café des Anges,"Française, Bar, Café, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75011
1202,HD Diner Châtelet,"Végétariens bienvenus, Choix végétaliens","Petit déjeuner, Déjeuner, Dîner, Brunch, Boissons, Ouvert tard",75001
1203,Restaurant Pompei,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75008
1204,PNY Oberkampf,Américaine,Végétariens bienvenus,75011
1205,Beccuti Bar,"Végétariens bienvenus, Choix végétaliens","Petit déjeuner, Déjeuner, Dîner, Brunch",75001
1206,Abri,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75010
1207,Udon Bistro Kunitoraya,"Japonaise, Asiatique, Soupes","Végétariens bienvenus, Choix végétaliens",75001
1208,L'Entredgeu,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75017
1209,A Cursita,Végétariens bienvenus,"Déjeuner, Dîner",55
1210,Mieux,"Française, Européenne, Bar à bières","Déjeuner, Dîner, Boissons",75009
1211,Les Toqués,Française,Végétariens bienvenus,75018
1212,Le Chardenoux,"Française, Saine","Déjeuner, Dîner, Ouvert tard",75011
1213,Le Paris Montparnasse,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Petit déjeuner, Déjeuner, Dîner, Brunch, Boissons, Ouvert tard",75014
1214,Le Cardinal,Végétariens bienvenus,"Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard",75016
1215,Bouillon Chartier Montparnasse,Française,"Déjeuner, Dîner",59
1216,Alix et Mika,Française,"Végétariens bienvenus, Plats sans gluten",75018
1217,Le Petit Vatel,"Française, Européenne, Méditerranéenne",Végétariens bienvenus,75006
1218,L'Atypic,"Française, Européenne","Déjeuner, Dîner",51
1219,Gaya,"Française, Européenne",Végétariens bienvenus,75007
1220,Enyaa,"Japonaise, Asiatique",Végétariens bienvenus,75001
1221,Yasmin,"Végétariens bienvenus, Choix végétaliens, Halal","Déjeuner, Dîner, Ouvert tard",71
1222,Le Café Blanc,"Végétariens bienvenus, Choix végétaliens","Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard, Boissons",75001
1223,Restaurant La Gauloise,Française,Végétariens bienvenus,59
1224,PNY FBG ST-DENIS,Américaine,Végétariens bienvenus,50
1225,HANOI CAPHE,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75009
1226,La Regalade Saint-Honore,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",06
1227,Willi's Wine Bar,"Française, Européenne, Bar à vins, Brasserie gastronomique",Végétariens bienvenus,75001
1228,Gambino,"Italienne, Pizza, Européenne, Toscane, Sicilienne, Italie du Centre, Italie du Sud","Végétariens bienvenus, Choix végétaliens",75001
1229,Clark Hot Dog,Restauration rapide,"Déjeuner, Dîner, Ouvert tard, Boissons",75004
